date,category,amount,description
21-11-2023,Dining,678.78,Lunch outing
21-06-2022,Utilities,709.01,Electricity bill
15-10-2023,Groceries,897.12,Bought vegetables and fruits
03-06-2024,Shopping,594.05,Gift purchase
14-03-2023,Travel,287.55,Train ticket to hometown
21-05-2022,Education,140.81,Bookstore visit
04-07-2023,Healthcare,72.86,Pharmacy purchase
28-04-2023,Entertainment,992.66,Subscription fee
25-03-2022,Dining,746.74,Lunch outing
10-06-2024,Education,245.44,Seminar ticket
21-09-2022,Entertainment,623.67,Subscription fee
03-01-2023,Utilities,896.17,Water bill
23-10-2022,Groceries,494.09,Weekly grocery shopping
05-09-2022,Dining,771.75,Coffee shop
10-08-2022,Healthcare,888.47,Lab test
14-02-2024,Groceries,418.6,Bought vegetables and fruits
14-02-2024,Utilities,323.81,Electricity bill
23-03-2022,Entertainment,108.15,Movie tickets
23-03-2022,Groceries,451.06,Bought vegetables and fruits
05-02-2022,Shopping,973.8,Gift purchase
20-02-2023,Entertainment,995.18,Subscription fee
29-10-2022,Utilities,14.64,Internet recharge
01-02-2022,Entertainment,434.62,Movie tickets
27-02-2023,Groceries,260.37,Supermarket run
07-06-2024,Healthcare,939.2,Pharmacy purchase
05-12-2023,Healthcare,319.54,Lab test
04-01-2022,Healthcare,663.64,Pharmacy purchase
29-04-2023,Entertainment,201.68,Concert entry
02-04-2023,Utilities,935.27,Water bill
11-01-2024,Utilities,697.08,Water bill
14-04-2024,Groceries,935.8,Bought vegetables and fruits
28-04-2024,Dining,109.29,Dinner at restaurant
24-04-2022,Travel,622.26,Train ticket to hometown
11-01-2024,Entertainment,47.08,Concert entry
18-09-2023,Dining,47.94,Dinner at restaurant
23-04-2022,Dining,750.66,Lunch outing
05-01-2022,Education,783.07,Online course fee
29-07-2022,Groceries,432.24,Weekly grocery shopping
22-02-2023,Groceries,527.24,Weekly grocery shopping
30-09-2023,Shopping,331.71,Online order
01-10-2022,Healthcare,61.84,Doctor visit
16-10-2022,Travel,660.7,Train ticket to hometown
29-05-2022,Shopping,611.02,Online order
12-02-2022,Healthcare,57.01,Pharmacy purchase
29-07-2023,Shopping,771.27,Online order
01-09-2022,Groceries,317.62,Supermarket run
15-08-2023,Travel,352.42,Flight booking
05-09-2022,Shopping,591.16,Gift purchase
11-01-2022,Groceries,284.26,Weekly grocery shopping
16-07-2022,Utilities,542.48,Water bill
10-09-2022,Travel,120.76,Train ticket to hometown
29-05-2022,Utilities,806.31,Water bill
09-06-2024,Travel,97.16,Train ticket to hometown
21-07-2023,Dining,89.46,Coffee shop
31-10-2022,Entertainment,916.43,Concert entry
20-09-2023,Shopping,906.26,Clothes shopping
01-05-2024,Shopping,387.86,Online order
10-03-2023,Healthcare,846.67,Doctor visit
14-11-2023,Entertainment,13.3,Subscription fee
18-02-2023,Education,17.55,Bookstore visit
24-04-2024,Education,971.52,Bookstore visit
11-03-2024,Utilities,123.2,Internet recharge
26-02-2022,Healthcare,340.38,Pharmacy purchase
11-02-2022,Utilities,46.61,Water bill
11-06-2023,Healthcare,501.24,Pharmacy purchase
28-11-2022,Groceries,212.1,Bought vegetables and fruits
07-04-2023,Entertainment,528.3,Concert entry
26-12-2023,Shopping,748.23,Online order
09-03-2024,Healthcare,347.85,Pharmacy purchase
26-03-2024,Groceries,663.04,Weekly grocery shopping
27-02-2023,Travel,948.68,Cab fare
07-01-2024,Healthcare,419.67,Doctor visit
19-08-2023,Shopping,590.07,Clothes shopping
13-02-2023,Dining,115.17,Lunch outing
25-04-2022,Travel,560.33,Train ticket to hometown
03-06-2023,Entertainment,988.14,Subscription fee
06-04-2024,Shopping,56.83,Gift purchase
30-04-2024,Entertainment,362.86,Concert entry
21-02-2024,Entertainment,431.37,Subscription fee
30-03-2024,Groceries,292.28,Weekly grocery shopping
30-07-2023,Shopping,823.73,Online order
18-03-2023,Education,895.39,Seminar ticket
03-02-2022,Utilities,189.43,Water bill
21-12-2022,Dining,892.85,Coffee shop
16-06-2023,Entertainment,478.59,Movie tickets
03-01-2022,Entertainment,830,Concert entry
30-08-2022,Entertainment,848.29,Subscription fee
11-10-2022,Healthcare,337.8,Lab test
19-03-2022,Dining,838.94,Coffee shop
23-03-2023,Healthcare,168.98,Lab test
08-12-2023,Travel,179.86,Flight booking
30-09-2023,Entertainment,290.91,Subscription fee
17-03-2022,Groceries,999.92,Supermarket run
27-12-2022,Dining,256.6,Lunch outing
13-10-2023,Healthcare,451.7,Doctor visit
22-10-2023,Dining,798.58,Dinner at restaurant
25-01-2023,Shopping,377.04,Gift purchase
13-01-2024,Travel,211.87,Cab fare
06-12-2022,Utilities,879.74,Water bill
03-03-2023,Education,740.01,Bookstore visit
14-04-2022,Dining,900.53,Dinner at restaurant
17-01-2022,Entertainment,470.56,Concert entry
05-03-2023,Travel,666.98,Train ticket to hometown
23-08-2022,Shopping,603.31,Clothes shopping
12-02-2022,Travel,982.36,Cab fare
05-11-2022,Dining,673.34,Dinner at restaurant
21-03-2023,Utilities,48.32,Water bill
09-05-2023,Dining,241.13,Lunch outing
29-05-2024,Utilities,165.31,Water bill
18-01-2022,Groceries,456.69,Supermarket run
23-11-2023,Groceries,505.91,Weekly grocery shopping
24-11-2022,Education,834.95,Seminar ticket
08-11-2022,Entertainment,529.94,Movie tickets
24-05-2022,Dining,593.21,Lunch outing
23-11-2023,Shopping,93.24,Clothes shopping
14-11-2023,Shopping,775.38,Clothes shopping
28-10-2022,Utilities,637.44,Electricity bill
26-05-2023,Entertainment,410.49,Subscription fee
02-08-2022,Shopping,431,Gift purchase
05-02-2022,Entertainment,668.49,Concert entry
18-06-2022,Travel,193.46,Flight booking
16-11-2023,Groceries,62.56,Supermarket run
18-03-2022,Entertainment,672.21,Subscription fee
05-11-2022,Education,910.2,Seminar ticket
02-11-2022,Shopping,76.38,Clothes shopping
25-10-2022,Entertainment,232.16,Subscription fee
23-08-2023,Utilities,834.12,Internet recharge
13-03-2024,Education,774.86,Bookstore visit
18-05-2024,Travel,133.68,Cab fare
25-07-2022,Healthcare,674.78,Doctor visit
23-12-2023,Healthcare,464.82,Doctor visit
08-07-2022,Healthcare,223.26,Doctor visit
08-02-2022,Entertainment,99.96,Subscription fee
09-04-2022,Education,458.29,Seminar ticket
27-01-2022,Healthcare,969.19,Doctor visit
15-03-2024,Education,140.75,Bookstore visit
11-12-2022,Healthcare,517.87,Lab test
20-05-2022,Entertainment,543.71,Concert entry
05-05-2024,Entertainment,725.81,Subscription fee
18-01-2022,Entertainment,424.29,Subscription fee
19-09-2022,Entertainment,692.61,Subscription fee
10-12-2022,Dining,526.85,Dinner at restaurant
22-09-2022,Utilities,605.02,Internet recharge
09-03-2023,Travel,634.58,Train ticket to hometown
19-08-2022,Travel,352.81,Cab fare
15-11-2022,Healthcare,216.8,Lab test
21-10-2023,Dining,765.86,Coffee shop
09-04-2022,Shopping,234.75,Clothes shopping
24-09-2022,Dining,469.91,Dinner at restaurant
26-10-2023,Utilities,836.83,Electricity bill
19-10-2023,Travel,351.82,Flight booking
08-10-2023,Dining,748.26,Lunch outing
31-07-2023,Entertainment,484.49,Subscription fee
18-09-2024,Food,15.5,Lunch with friends
17-09-2024,meds,15.5,Lunch with friends
18-09-2024,Food,15.5,Lunch with friends
17-09-2024,meds,15.5,Lunch with friends
2024-09-18,Food,15.5,Lunch with friends
2024-09-17,meds,15.5,Lunch with friends
